user,result,apply_dt,close_dt,update_ts,duration,description,id
hannah,等待,2020-10-09,,2020-11-02 11:31,,国内本科IT 经济学双学位，新加坡IT硕士，程序媛，毕业工作3年EP，等待中,meta/pr/2020-11-03/2020-11-02 11:31_hannah.json
华叹,通过,2020-04-01,2020-10-27,2020-11-01 20:18,209 days,马来西亚 男28，澳大利亚会计硕士，来新第9个月后 第一次申请，等了6个月多，感恩 顺利通过,meta/pr/2020-11-03/2020-11-01 20:18_华叹.json
步步为营,通过,2020-03-24,2020-10-27,2020-11-01 13:28,217 days,中国，女，30岁，单身女生首次申请.在新一共6年，中国本科，美国硕士. 在新加坡从事软件科技行业市场部工作. EP. 月薪7k。 3月提交申请，7月要求补充父母资料，10月通过.感觉凡是要求父母资料的基本上都过了.,meta/pr/2020-11-03/2020-11-01 13:28_步步为营.json
小花,等待,2020-04-08,,2020-10-31 19:47,,本人211本硕，老婆大马硕士，都是EP。此前我两次个人申请均被拒，老婆一次个人申请也被拒。这次两人一起，老婆主申，希望早日通过,meta/pr/2020-11-03/2020-10-31 19:47_小花.json
WTF,杯具,2019-09-27,2020-10-30,2020-10-30 13:17,399 days,EP，国内985本科，香港phd，单身，金融行业，15k，pending 13个月,meta/pr/2020-11-03/2020-10-30 13:17_WTF.json
Charm,通过,2020-01-15,2020-10-19,2020-10-29 18:17,278 days,EP(PEP)，国内985本科，美国硕士，美国香港工作若干年，申请的时候在新加坡工作近2年，金融行业，单亲妈妈带幼女。2020年1月申请，6月ICA要求补资料的邮件没收到，10月自己问ICA得知要补，补完材料一周后过,meta/pr/2020-11-03/2020-10-29 18:17_Charm.json
Ryan,通过,2020-04-20,2020-10-28,2020-10-28 20:46,191 days,第二次申请。男，中国人，30，单身，截止通过来新整四年，香港本科美国研究生，EP客服经理5K。9月4号按要求补交老娘CV，10月28号收到批准信。看了这个统计网站有段时间了觉得批准的人基本都比我条件好。我这毕竟非技术岗位薪水也不高。估计是疫情期间门槛低了，感恩。也祝大家都好运！,meta/pr/2020-11-03/2020-10-28 20:46_Ryan.json
julius,等待,2020-10-23,2020-10-23,2020-10-27 14:49,0 days,国内普本，新加坡六年，制造业，也来蹭蹭福气,meta/pr/2020-11-03/2020-10-27 14:49_julius.json
看没看,等待,2020-09-11,,2020-10-25 20:48,,"Malaysian, age 30 , 2.5k , construction",meta/pr/2020-11-03/2020-10-25 20:48_看没看.json
Neko,等待,2020-01-22,,2020-10-22 16:58,,"2004年来新，在新加坡读了小学，中学 4 年，ITE Higher Nitec, NYP Poly. SP, 2.3K, 工作专业不对口 但是公司做的东西是跟专业对口。 工作 6 个月时申请。 现在Pending 9个月了，希望能过",meta/pr/2020-11-03/2020-10-22 16:58_Neko.json
Neko,等待,2020-01-22,,2020-10-22 12:15,,"2004年来新，在新加坡读了小学，中学 4 年，ITE Higher Nitec 2 年, 理工学院. SP, 2.3K, 工作专业不对口当是公司跟专业对口。 Pending 十个月了，希望能过",meta/pr/2020-10-22/2020-10-22 12:15_Neko.json
xxxyyyyy,等待,2020-09-08,,2020-10-22 09:10,,来新四年，nus硕士，月薪4k，服务行业,meta/pr/2020-10-22/2020-10-22 09:10_xxxyyyyy.json
briankym84,通过,2020-03-31,2020-10-05,2020-10-21 05:23,188 days,"Degree honour,2019年5月到新加坡，工作10个月递交文件，6个月获批",meta/pr/2020-10-22/2020-10-21 05:23_briankym84.json
LuckyDog,通过,2019-02-01,2019-07-01,2020-10-20 11:08,150 days,"Malaysian, EP, 2.7K, Bachelor Degree in Malaysia, 2 years Working Exp (Construction)",meta/pr/2020-10-22/2020-10-20 11:08_LuckyDog.json
Doris,等待,2020-10-19,,2020-10-20 11:04,,国内985本科，NTU master毕业，工作3.5年，在新4.5年，工资5.5k，女性。刚结婚一个多月，由丈夫PR sponsor申请，丈夫来新近6年。希望这次能过，来沾沾好运,meta/pr/2020-10-22/2020-10-20 11:04_Doris.json
欣欣,等待,2020-10-13,,2020-10-20 08:53,,"单身, SP, $2.5K, 3年工作经验, 申请时居然忘了提交diploma",meta/pr/2020-10-22/2020-10-20 08:53_欣欣.json
charles,通过,2020-06-18,2020-10-08,2020-10-19 14:52,112 days,大马人，夫妻 主申请人 - 老婆，EP， PSB Diploma 副申请人 - 老公，WP，PSB Diploma,meta/pr/2020-10-22/2020-10-19 14:52_charles.json
是个谜,通过,2020-03-11,2020-10-14,2020-10-17 21:15,217 days,"中国，女，单身, 来新5年, 底薪6k IT行业。国内C9本科，NUS硕士。Pending 7个月后通过。",meta/pr/2020-10-22/2020-10-17 21:15_是个谜.json
Jeremy,等待,2020-10-06,,2020-10-17 18:02,,"O level, poly gold medal，nus 1st class，EP，来新9年。薪水3900，环境行业，两个半月工资单申请。",meta/pr/2020-10-22/2020-10-17 18:02_Jeremy.json
晨翔,等待,2020-08-28,,2020-10-17 17:18,,spass $2500，书记，工历九年，spm文凭，已婚，两个孩子，拉wp老公一起申请,meta/pr/2020-10-22/2020-10-17 17:18_晨翔.json
甜蜜,通过,2020-09-07,2020-10-06,2020-10-17 15:36,29 days,没有diplome 文凭。s pass 。已婚。有孩子。。$2.500 工资。捐钱每个月$10.50。。在一间公司做超过10年,meta/pr/2020-10-22/2020-10-17 15:36_甜蜜.json
Loli,等待,2020-04-09,,2020-10-17 15:30,,马来西亚/女/EP /工资2.5k/Degree/来新工作两年/10月份补家庭资料和近几个月薪水单,meta/pr/2020-10-22/2020-10-17 15:30_Loli.json
Bro 不要玩,通过,2019-08-05,2020-02-05,2020-10-17 14:42,184 days,新加坡工作10年 sp拿两年 spm申请,meta/pr/2020-10-22/2020-10-17 14:42_Bro 不要玩.json
小幸运,通过,2020-01-19,2020-10-02,2020-10-17 12:37,257 days,本科学历，在新工作五年老师，薪水3000,meta/pr/2020-10-22/2020-10-17 12:37_小幸运.json
Whisper,通过,2020-03-12,2020-09-21,2020-10-17 10:28,193 days,Diploma/ Bachelor Degree/ Sarawakian/ 单身/ 女/ 做工1年2个月申请/ 毕业后第一份工/ 薪水2.6K/ S Pass/ Construction,meta/pr/2020-10-22/2020-10-17 10:28_Whisper.json
Totoro0620,等待,2020-04-10,,2020-10-17 09:01,,马来西亚/女/单身/Bachelor's degree/26/来新工作一年半申请/工资2.5k/IT 行业,meta/pr/2020-10-22/2020-10-17 09:01_Totoro0620.json
YJS,通过,2020-03-02,2020-10-13,2020-10-16 17:41,225 days,来新6年多，IT行业，刚来几年薪水不高，前几个跳槽到月薪9K，国内硕士，老婆小孩DP，小女孩17年新加坡出生。第一次17年一个人申请，被拒。第二次申请期间换工作了，ICA补过一次最近薪水资料，然后几天后就收到了ICA的大信封，IPA的信。也没什么激动兴奋的，祝大家好运!,meta/pr/2020-10-22/2020-10-16 17:41_YJS.json
K.z,通过,2020-03-10,2020-10-12,2020-10-15 20:07,216 days,"PSLE, olevel, poly. 工作半年开始申请，拿的是spass",meta/pr/2020-10-22/2020-10-15 20:07_K.z.json
mkb,等待,2020-07-20,,2020-10-15 00:48,,国内博士，讲师，年薪8万，单身,meta/pr/2020-10-22/2020-10-15 00:48_mkb.json
eggy cat,等待,2020-03-13,,2020-10-14 13:41,,夫妻双EP。 男主申：本地phd，工作不满一年 女副申：本地master，工作2年 9月25号收到补交材料的通知。,meta/pr/2020-10-22/2020-10-14 13:41_eggy cat.json
求好运,等待,2020-02-21,,2020-10-13 23:45,,中国人+缅甸华人老婆 双 S Pass ，来新8 年，两儿子不在身边， 第三次申请， 全家人一起。之前分开申请都被拒了。,meta/pr/2020-10-22/2020-10-13 23:45_求好运.json
XIXI,等待,2020-08-22,,2020-10-13 15:21,,私立本科來新11年 擔保申請,meta/pr/2020-10-22/2020-10-13 15:21_XIXI.json
Katherine,通过,2020-07-15,2020-10-06,2020-10-10 14:04,83 days,"女带男，不到三个月通过。 大马华人，degree, S pass, 薪水2.7k，来新五年多了。一路坎坷，这次第三次申请，总算approved。距离上一次被reject六个月后重新申请，期间有升职加薪。老公 大马华人 wp，",meta/pr/2020-10-22/2020-10-10 14:04_Katherine.json
Wolf,杯具,2020-05-26,2020-10-02,2020-10-08 13:58,129 days,沈阳工业大学本科，在新ep工作1年，申请前捐款100，由于疫情没出去做义工，薪水$5800,meta/pr/2020-10-22/2020-10-08 13:58_Wolf.json
JG,等待,2020-04-03,,2020-10-08 12:23,,"双EP, 有房产,来新七年，老婆来新13年。",meta/pr/2020-10-22/2020-10-08 12:23_JG.json
VVV,等待,2020-05-15,,2020-10-08 10:17,,"中国, 女, 单身, 来新3年, EP, 月薪10k+， 蹭好运~",meta/pr/2020-10-22/2020-10-08 10:17_VVV.json
184998527,等待,2020-08-17,,2020-10-07 23:11,,中国，女，89年，单身，来新8年，国内本科，NUS硕，数据分析行业，EP，月薪6500,meta/pr/2020-10-22/2020-10-07 23:11_184998527.json
shane,通过,2019-10-23,2020-08-31,2020-10-05 22:03,313 days,大马人，单身，3.7K 会计师，会计专业,meta/pr/2020-10-22/2020-10-05 22:03_shane.json
Adortao,等待,2019-11-01,,2020-10-05 21:11,,"2Ep+1Dp, 家庭收入30000+，女方来新8年，男方1年+",meta/pr/2020-10-22/2020-10-05 21:11_Adortao.json
mumu,通过,2019-02-03,2020-09-30,2020-10-05 19:41,605 days,"国内985,14年来新本地master，15年工作至今，科技初创公司executive （EP来回换过几次雇主），有女儿，已婚但是各自单独申请",meta/pr/2020-10-22/2020-10-05 19:41_mumu.json
charles,等待,2020-06-18,,2020-10-04 15:32,,大马人，夫妻 主申请人 - 老婆，EP， PSB Diploma 副申请人 - 老公，WP，PSB Diploma,meta/pr/2020-10-05/2020-10-04 15:32_charles.json
Moomin,等待,2020-05-05,,2020-10-04 00:19,,来新9年，私立大学本科，澳洲硕士，工作4年，薪水5K，求好运！,meta/pr/2020-10-05/2020-10-04 00:19_Moomin.json
wishmeluck,等待,2020-07-30,,2020-10-02 12:50,,"EP, 中国上海人。19年10月到新加坡，法国商学院双硕士毕业。月薪8K",meta/pr/2020-10-05/2020-10-02 12:50_wishmeluck.json
lucky55,等待,2020-08-21,,2020-09-30 23:32,,Malaysian EP 2.8K Bachelor Degree,meta/pr/2020-10-05/2020-09-30 23:32_lucky55.json
在新6年留学生,等待,2020-03-25,,2020-09-30 11:56,,一年国际学校 4年政府中学 目前poly year 1在读,meta/pr/2020-10-05/2020-09-30 11:56_在新6年留学生.json
combustion,通过,2019-09-12,2020-03-12,2020-09-30 10:47,182 days,年薪 200K，单身，来新一年,meta/pr/2020-10-05/2020-09-30 10:47_combustion.json
ACD,等待,2020-01-06,,2020-09-30 10:35,,馬來西亞人 EP，工作 5 年，薪水 2600。( btw 友人今年 3 月申請，7 月中就被批准了... ),meta/pr/2020-10-05/2020-09-30 10:35_ACD.json
woonwoon,等待,2020-02-21,,2020-09-30 04:29,,来新半年工作申请带,meta/pr/2020-10-05/2020-09-30 04:29_woonwoon.json
watts,等待,2020-04-01,,2020-09-29 20:33,,"O level-poly-uni-EP ,单身，工作半年后申请。",meta/pr/2020-10-05/2020-09-29 20:33_watts.json
E幸运77,等待,2020-07-10,,2020-09-29 11:38,,"马来西亚男, 单身26岁, EP $2.7K 建筑业 建模/绘图员, 澳洲Bachelor Degree, 在新工作1年半第一次申请",meta/pr/2020-10-05/2020-09-29 11:38_E幸运77.json
E幸运77,等待,2020-07-10,,2020-09-29 10:28,,"马来西亚男, 单身, EP $2.7K 建筑业 建模/绘图员, 澳洲Bachelor Degree, 工作1年半第一次申请",meta/pr/2020-09-29/2020-09-29 10:28_E幸运77.json
Danny S,杯具,2020-05-18,2020-09-28,2020-09-28 20:42,133 days,底薪9K，国内985，上海户口，未婚，工作10年，来新不到两年。 具体原因不知道，估计是来新时间短...,meta/pr/2020-09-29/2020-09-28 20:42_Danny S.json
Peter,通过,2019-12-27,2020-09-28,2020-09-28 20:12,276 days,本人EP，老婆和孩子dp，来新加坡工作五年，国内普通本科毕业，第一次申请，等待九个月后approve,meta/pr/2020-09-29/2020-09-28 20:12_Peter.json
山顶黑毒蛇,通过,2020-02-14,2020-09-14,2020-09-28 09:54,213 days,大马华族，服务业S Pass，sponsors在大马工作的妻子，家庭收入$5k，主申请最高学历只有中学SPM文凭，等待了7个月最后申请一次通过。,meta/pr/2020-09-29/2020-09-28 09:54_山顶黑毒蛇.json
AB,等待,2020-03-23,,2020-09-27 12:26,,马来西亚人 EP 2.8K 销售副经理 澳洲本科,meta/pr/2020-09-29/2020-09-27 12:26_AB.json
wfh,等待,2020-06-15,,2020-09-25 18:47,,"男，NUS Degree + PhD, 博后 EP 月薪5k+, 30岁已婚",meta/pr/2020-09-26/2020-09-25 18:47_wfh.json
欣欣,等待,2020-03-12,,2020-09-25 10:04,,"Malaysian, 单身, 2.4k, EP, 会计, 来新一年半, Bachelor Degree Holder",meta/pr/2020-09-26/2020-09-25 10:04_欣欣.json
小幸运,通过,2020-04-04,2020-08-25,2020-09-24 16:46,143 days,"Malaysian, EP. UK Bachelor degree",meta/pr/2020-09-26/2020-09-24 16:46_小幸运.json
test,等待,2020-08-12,,2020-09-23 18:49,,国内本，NUS硕，工作2年，男，26,meta/pr/2020-09-26/2020-09-23 18:49_test.json
jijisbaba,等待,2020-05-23,,2020-09-23 01:50,,来贡献data point求好运，自己申请，来新一年半，ep holder，海外本科，月薪20k,meta/pr/2020-09-26/2020-09-23 01:50_jijisbaba.json
Good Luck,等待,2020-09-08,,2020-09-22 18:11,,男，EP，土木工程师，国内995本科，NUS硕士，来新五年，第二次申请,meta/pr/2020-09-26/2020-09-22 18:11_Good Luck.json
Leona,通过,2019-10-18,2020-08-11,2020-09-22 16:21,298 days,09届SM1奖学金，NUS本科，毕业后工作一年申请,meta/pr/2020-09-26/2020-09-22 16:21_Leona.json
Terminator,通过,2020-02-16,2020-08-26,2020-09-21 22:01,192 days,马来西亚 2.5K 会计 EP,meta/pr/2020-09-26/2020-09-21 22:01_Terminator.json
Hhh,等待,2019-11-16,,2020-09-21 15:43,,女，老公全家是公民，来新3年，2k+，国内普通本科,meta/pr/2020-09-26/2020-09-21 15:43_Hhh.json
00000,等待,2020-01-28,,2020-09-19 20:37,,"EP ,职位，建筑公司董事，一拖三，薪水8K＋，快8个月了，还在Pending!!!",meta/pr/2020-09-20/2020-09-19 20:37_00000.json
GF,等待,2020-09-17,,2020-09-17 00:40,,"31+ 27岁 夫妻, EP+EP, 1.5yr in SG, household gross 15~17k monthly. First Try...",meta/pr/2020-09-20/2020-09-17 00:40_GF.json
zwc3333,通过,2019-04-10,2020-09-06,2020-09-13 10:45,515 days,"EP, 7500,来新10年。学历，国内专科",meta/pr/2020-09-14/2020-09-13 10:45_zwc3333.json
Eric,等待,2019-07-24,,2020-09-12 13:37,,IT 月薪8K EP ，快14个月了，我只有一个问题为什么跟我一样的水平的6个月就拿了，不然就8个月在不然就12个月，我等了快14个月了，公平何在？还有等多久？,meta/pr/2020-09-14/2020-09-12 13:37_Eric.json
11092020,通过,2019-04-16,2020-09-03,2020-09-11 09:39,506 days,女 单身，国内211本科，NTU master，basic 6k+，第二次申请。NTU NUS 的master们要有信心，还是能成功的。,meta/pr/2020-09-14/2020-09-11 09:39_11092020.json
2333,等待,2020-09-06,2020-09-11,2020-09-11 01:35,5 days,"13年来新,27岁单身女,国内本科,NUS理学硕博士,现在EP第二年, 月薪4K+,第一次申请",meta/pr/2020-09-14/2020-09-11 01:35_2333.json
Kiwi,通过,2020-01-20,2020-08-27,2020-09-10 21:36,220 days,女 Spass basic 4K+ 來新六年 第二次申請,meta/pr/2020-09-14/2020-09-10 21:36_Kiwi.json
anubis,等待,2020-09-09,,2020-09-09 17:51,,男/30+/单身/EP/6K Basic/中国本科/来新6年(中间回国2年)/第一次申请,meta/pr/2020-09-14/2020-09-09 17:51_anubis.json
success,等待,2020-03-26,,2020-09-09 15:55,,现在就读本地 Masters,meta/pr/2020-09-14/2020-09-09 15:55_success.json
小草,等待,2020-01-27,,2020-09-08 23:37,,中国人，女，单身，30+。本地私立学校的degree，工作8年，spass，来新12年。上市集团工作，basic 4k，gross 5.5k。第四次申请，公司ceo和hr帮写了推荐信，希望能通过吧……,meta/pr/2020-09-14/2020-09-08 23:37_小草.json
萌萌哒,等待,2020-09-07,,2020-09-08 19:18,,"O Level, Poly, NTU本科毕业. EP 研助 一个月申请",meta/pr/2020-09-14/2020-09-08 19:18_萌萌哒.json
what,等待,2020-02-01,,2020-09-08 00:34,,夫妻EP+DP，男31，国内名校211本，Basic20K；女28，同校本+第三国硕士，暂未就业。已补家人材料。来新一年半时申请，现已来新两年多。,meta/pr/2020-09-14/2020-09-08 00:34_what.json
testing,等待,2019-11-01,,2020-09-07 08:17,,哎哎哎,meta/pr/2020-09-14/2020-09-07 08:17_testing.json
ff,通过,2019-10-27,2020-08-25,2020-09-06 21:38,303 days,双EP（1万以上，Legal+Finance）+DP，2018.12月来新，第一次申请，没补过材料。,meta/pr/2020-09-14/2020-09-06 21:38_ff.json
hi hi,等待,2020-05-12,,2020-09-05 15:35,,来新四年多，工作三年，5.1k,meta/pr/2020-09-14/2020-09-05 15:35_hi hi.json
Cccc,等待,2019-11-22,,2020-09-05 12:39,,女 单身 来新12年 本地本科 薪水4k+,meta/pr/2020-09-14/2020-09-05 12:39_Cccc.json
来新7年了,等待,2019-09-07,,2020-09-04 14:43,,NTU 博士，EP，月薪4300，来新七年，还在pending，下个月辞职回国了,meta/pr/2020-09-14/2020-09-04 14:43_来新7年了.json
9月的都还没过 看来有排等...,等待,20191206,,2020-09-03 17:32,,大马，女，EP 4K+ Engineer,meta/pr/2020-09-14/2020-09-03 17:32_9月的都还没过 看来有排等....json
过过过,等待,2020-06-04,,2020-09-03 11:06,,香港本科，新加坡硕士，17年来新，金融行业，工资4000+，第一次申请。,meta/pr/2020-09-14/2020-09-03 11:06_过过过.json
审计小女孩,等待,2019-09-11,,2020-09-02 14:21,,Malaysian 女，EP准证，4.4k Basic Salary，Audit ，26 岁,meta/pr/2020-09-14/2020-09-02 14:21_审计小女孩.json
花儿不会谢,通过,2020-09-02,2020-09-02,2020-09-02 09:25,0 days,楼下的哥们儿，别灰心，你这种情况已经批了，其实NYP已经足够你申请PR了，现在ICA只是在等你的bachelor毕业而已，安心上班，等你毕业的时候好事成双。,meta/pr/2020-09-14/2020-09-02 09:25_花儿不会谢.json
等的花儿都谢了,等待,2019-10-12,,2020-09-01 22:55,,2011来新 Olevel - Nanyang Poly - NTU EEE part time final year 目前Spass 第一次申请 截止到2020 9月 pending11个月 从未被要求过补资料无任何消息 CB前 其他人收到的疫情延迟信也没有收到,meta/pr/2020-09-14/2020-09-01 22:55_等的花儿都谢了.json
好纠结,等待,2020-03-06,,2020-09-01 15:29,,单身女，国内PhD毕业，来新博后3年，SP，5k,meta/pr/2020-09-14/2020-09-01 15:29_好纠结.json
kekeju,杯具,2019-10-01,2020-07-04,2020-08-31 16:41,277 days,GIP全球投资者计划250万新币基金投资，面试后两个月收到信未批准。,meta/pr/2020-09-14/2020-08-31 16:41_kekeju.json
河马大大,等待,2020-03-30,,2020-08-29 18:11,,"夫妻双EP,本地master,主申6500+,来新7年",meta/pr/2020-09-14/2020-08-29 18:11_河马大大.json
哈哈啊,通过,2020-08-19,2020-08-29,2020-08-29 14:44,10 days,楼下那个来新七年的 你要回就回 新加坡少你不会怎么样的,meta/pr/2020-09-14/2020-08-29 14:44_哈哈啊.json
HH,等待,2019-12-25,,2020-08-27 05:47,,来新4年多，小六会考后，中学名校在读,meta/pr/2020-09-14/2020-08-27 05:47_HH.json
希望好好过,等待,2019-10-10,,2020-08-27 01:36,,Malaysian EP 单身 女 2.5K薪水 餐厅主管 等了10个月半还在Pending,meta/pr/2020-09-14/2020-08-27 01:36_希望好好过.json
DT,等待,2020-02-25,,2020-08-26 22:57,,"Malaysian EP, 3.2K Basic, Engineering Sector, 2 years + in SG, SIngle",meta/pr/2020-09-14/2020-08-26 22:57_DT.json
希望通过,等待,2019-10-17,,2020-08-26 18:58,,Malaysian EP 工资 3k degree 工作 1年半 在银行做IT 等了10个月,meta/pr/2020-09-14/2020-08-26 18:58_希望通过.json
sj,杯具,2019-06-13,2019-12-12,2020-08-25 11:54,182 days,女 单身 来新11年 NUS 本科 应届毕业生 8月底入职 EP 工资 3000+,meta/pr/2020-09-14/2020-08-25 11:54_sj.json
轩轩,等待,2020-01-06,,2020-08-25 11:41,,来新加坡13年 今年5月生宝宝，第五次申请 希望批准,meta/pr/2020-09-14/2020-08-25 11:41_轩轩.json
无阻,等待,2020-06-07,,2020-08-24 22:30,,博士EP+双学士DP，儿子K1，来新7个月后递交申请,meta/pr/2020-09-14/2020-08-24 22:30_无阻.json
无阻,等待,2020-06-07,,2020-08-18 00:01,,博士EP20k+双学士DP9k，儿子K1，来新7个月后递交申请,meta/pr/2020-08-23/2020-08-18 00:01_无阻.json
neko,等待,2020-04-29,,2020-08-17 10:43,,单身 女 29岁 EP 中国本科学历 去年9月来坡 薪资7k+,meta/pr/2020-08-23/2020-08-17 10:43_neko.json
jc,杯具,2020-03-15,2020-07-15,2020-08-16 21:35,122 days,单身男 EP 第三国Master 来新1年半 薪资8k,meta/pr/2020-08-23/2020-08-16 21:35_jc.json
Yun,杯具,2019-08-23,2020-07-20,2020-08-15 11:02,332 days,夫妻带女儿，双SP，来新9年+，basic6K主申，家庭月收入11K+,meta/pr/2020-08-23/2020-08-15 11:02_Yun.json
Toto,等待,2019-09-05,,2020-08-14 23:15,,夫妻，国内985&本地公立大学master 和第三国master。家庭基本收入13k+。来新超过5年。,meta/pr/2020-08-23/2020-08-14 23:15_Toto.json
LJLS,等待,2020-03-13,,2020-08-14 14:22,,"来新12 年，女，单身，ACCA&CA，第三国Master, 5K+ 第四/五次申请了。 希望有好结果吧。",meta/pr/2020-08-23/2020-08-14 14:22_LJLS.json
kk,杯具,2019-12-26,2020-06-25,2020-08-10 20:39,182 days,来坡7年，夫妻一起申，双EP,meta/pr/2020-08-13/2020-08-10 20:39_kk.json
Ly,等待,2019-11-08,,2020-08-08 16:53,,夫妻自雇人士，女主申学历海外博士，男硕985， 来新7年，小孩3岁，全家一起申，已买房，之前拒了4次。,meta/pr/2020-08-13/2020-08-08 16:53_Ly.json
BY,等待,2020-03-11,,2020-08-07 21:05,,来坡共计7年 ， 本地私立diploma 第三方degree，持LTVP ，basic 3k＋。结婚1年＋，工作3年 ，第一次申请,meta/pr/2020-08-13/2020-08-07 21:05_BY.json
lx,等待,2020-01-10,,2020-08-06 13:43,,夫妻带儿子申请。EP+SP，月收入16k+，来新七年。,meta/pr/2020-08-13/2020-08-06 13:43_lx.json
YY,等待,2020-08-03,,2020-08-06 10:43,,"国内本科，新加坡Master, 女，单身，来坡5+年，EP， 薪资7k+，第三次申请",meta/pr/2020-08-13/2020-08-06 10:43_YY.json
Coderek,通过,2019-10-11,2020-08-05,2020-08-05 20:53,299 days,来新16年，中途去北美一段时间，现在跟老婆女儿一起回新。她们都是新加坡籍（移民）。我是EP,meta/pr/2020-08-13/2020-08-05 20:53_Coderek.json
bigenguo,杯具,2020-03-06,2020-08-04,2020-08-04 11:58,151 days,"女，EP, 日本master, 月薪5k，来新2年，一个人申请",meta/pr/2020-08-13/2020-08-04 11:58_bigenguo.json
八月通过,等待,2019-12-17,,2020-08-03 21:49,,女，新加坡本科，工作6个月申请,meta/pr/2020-08-04/2020-08-03 21:49_八月通过.json
Mark,等待,2020-07-21,,2020-08-03 19:08,,Diploma General manager 人力资源行业 Salary 7k➕ 8年在新加坡 17岁来新加坡 单身,meta/pr/2020-08-04/2020-08-03 19:08_Mark.json
rand(),等待,2019-05-12,,2020-08-03 15:37,,错填，忽略,meta/pr/2020-08-04/2020-08-03 15:37_rand().json
zzzzzzzzz,等待,2020-01-02,,2020-07-28 00:18,,国内985本，新加坡master，来新四年，互联网工程师，base 9k 左右，等待中,meta/pr/2020-07-28/2020-07-28 00:18_zzzzzzzzz.json
Ocean,通过,2019-04-16,2020-07-16,2020-07-27 03:31,457 days,我中国人，先生新加坡人。我们在美国认识，都是美本硕，一直在美国工作，家庭月收入23k+，我没有在新加坡生活工作经历。,meta/pr/2020-07-28/2020-07-27 03:31_Ocean.json
szm,通过,2019-08-02,2020-07-22,2020-07-26 14:37,355 days,中国人，国内211本科，单身，EP(P1PASS)，basic 9k，递交申请时来新4年整，第三次申请，pending 接近1年后通过。,meta/pr/2020-07-28/2020-07-26 14:37_szm.json
wanghezi,等待,2020-01-23,,2020-07-25 10:01,,来新八年，月薪5k，第二次申请，学历大专，某小建筑公司经理。,meta/pr/2020-07-28/2020-07-25 10:01_wanghezi.json
ac,杯具,2020-01-07,2020-07-23,2020-07-23 12:56,198 days,"sp 带老公+儿子一起申请， 月薪5k+，国内985 硕, 来新4y+，公寓一套。老公在中国工作，海外博。第一次申请。",meta/pr/2020-07-28/2020-07-23 12:56_ac.json
Jeffery,等待,2020-04-08,,2020-07-21 18:57,,来新加坡10年，私校degree毕业，SP工作已经2年+，第一次申请6个月后被拒，现在第二次申请中。,meta/pr/2020-07-28/2020-07-21 18:57_Jeffery.json
Hao A,通过,20190915,20200620,2020-07-21 08:38,,"女，新加坡本地大学master,来新6年，考过olevel，目前刚毕业无业。老公新加坡人，sponsor带我申请，月薪6000+，本地大学master.",meta/pr/2020-07-28/2020-07-21 08:38_Hao A.json
tangzhuzhu,等待,2020-03-07,,2020-07-19 02:37,,第二次申请，来新5年，NTU Master， Basic 4.8K,meta/pr/2020-07-28/2020-07-19 02:37_tangzhuzhu.json
